"age";"job";"marital";"education";"default";"housing";"loan";"contact";"month";"day_of_week";"duration";"campaign";"pdays";"previous";"poutcome";"emp.var.rate";"cons.price.idx";"cons.conf.idx";"euribor3m";"nr.employed";"y"
32;"management";"married";"university.degree";"no";"yes";"yes";"cellular";"may";"wed";36;9;999;1;"failure";-1.8;92.893;-46.2;1.281;5099.1;"no"
29;"blue-collar";"married";"basic.9y";"unknown";"yes";"no";"telephone";"may";"wed";337;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.281;5099.1;"no"
46;"blue-collar";"divorced";"basic.9y";"no";"no";"no";"cellular";"may";"wed";426;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.281;5099.1;"no"
45;"services";"married";"high.school";"unknown";"yes";"no";"cellular";"may";"wed";25;7;999;0;"nonexistent";-1.8;92.893;-46.2;1.281;5099.1;"no"
27;"admin.";"single";"high.school";"no";"yes";"yes";"cellular";"may";"wed";196;3;999;1;"failure";-1.8;92.893;-46.2;1.281;5099.1;"no"
29;"admin.";"married";"university.degree";"no";"yes";"no";"cellular";"may";"wed";126;2;999;1;"failure";-1.8;92.893;-46.2;1.281;5099.1;"no"
25;"blue-collar";"married";"basic.9y";"no";"no";"no";"cellular";"may";"wed";201;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.281;5099.1;"no"
42;"blue-collar";"divorced";"basic.9y";"no";"no";"yes";"cellular";"may";"wed";300;5;999;1;"failure";-1.8;92.893;-46.2;1.281;5099.1;"no"
32;"blue-collar";"married";"basic.6y";"unknown";"no";"no";"telephone";"may";"wed";630;3;999;1;"failure";-1.8;92.893;-46.2;1.281;5099.1;"no"
31;"blue-collar";"single";"basic.9y";"no";"no";"no";"telephone";"may";"wed";48;4;999;1;"failure";-1.8;92.893;-46.2;1.281;5099.1;"no"
29;"blue-collar";"married";"basic.9y";"no";"no";"no";"cellular";"may";"wed";189;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.281;5099.1;"no"
30;"blue-collar";"single";"basic.9y";"no";"no";"no";"cellular";"may";"wed";305;8;999;0;"nonexistent";-1.8;92.893;-46.2;1.281;5099.1;"no"
27;"admin.";"married";"professional.course";"no";"no";"no";"cellular";"may";"thu";68;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
29;"blue-collar";"married";"basic.6y";"no";"no";"no";"cellular";"may";"thu";65;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
26;"blue-collar";"single";"basic.9y";"unknown";"yes";"no";"cellular";"may";"thu";115;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
32;"blue-collar";"single";"basic.9y";"no";"no";"no";"cellular";"may";"thu";247;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
29;"services";"single";"high.school";"no";"yes";"no";"cellular";"may";"thu";164;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
28;"technician";"single";"university.degree";"no";"yes";"yes";"cellular";"may";"thu";178;2;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
35;"technician";"single";"professional.course";"no";"no";"no";"telephone";"may";"thu";19;7;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
23;"housemaid";"single";"basic.4y";"no";"no";"yes";"cellular";"may";"thu";9;6;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
48;"services";"single";"basic.4y";"unknown";"yes";"no";"cellular";"may";"thu";24;7;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
31;"management";"single";"university.degree";"no";"yes";"no";"cellular";"may";"thu";165;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
29;"admin.";"single";"high.school";"no";"no";"no";"cellular";"may";"thu";14;7;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
29;"admin.";"single";"high.school";"no";"yes";"no";"telephone";"may";"thu";36;6;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
59;"admin.";"divorced";"basic.9y";"no";"yes";"no";"cellular";"may";"thu";8;6;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
48;"blue-collar";"married";"basic.4y";"unknown";"yes";"no";"cellular";"may";"thu";33;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
38;"blue-collar";"single";"basic.4y";"no";"no";"no";"cellular";"may";"thu";121;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
24;"management";"married";"university.degree";"no";"yes";"no";"telephone";"may";"thu";921;4;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
37;"services";"married";"high.school";"no";"yes";"yes";"cellular";"may";"thu";436;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
33;"blue-collar";"married";"professional.course";"no";"no";"no";"cellular";"may";"thu";119;2;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
31;"technician";"single";"basic.9y";"no";"yes";"no";"telephone";"may";"thu";13;5;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
26;"self-employed";"married";"high.school";"no";"yes";"yes";"cellular";"may";"thu";181;5;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
30;"technician";"married";"basic.9y";"no";"yes";"no";"telephone";"may";"thu";7;7;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
29;"blue-collar";"married";"basic.6y";"no";"no";"no";"cellular";"may";"thu";16;7;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
31;"technician";"single";"university.degree";"no";"yes";"no";"cellular";"may";"thu";259;4;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
38;"blue-collar";"married";"basic.4y";"no";"no";"no";"cellular";"may";"thu";102;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
36;"admin.";"single";"university.degree";"no";"yes";"no";"cellular";"may";"thu";19;8;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
36;"blue-collar";"married";"basic.9y";"no";"yes";"no";"cellular";"may";"thu";113;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
38;"blue-collar";"married";"high.school";"unknown";"yes";"no";"cellular";"may";"thu";152;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
47;"blue-collar";"married";"basic.4y";"unknown";"no";"no";"cellular";"may";"thu";14;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
28;"student";"single";"high.school";"no";"yes";"no";"cellular";"may";"thu";21;8;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
33;"admin.";"single";"university.degree";"no";"no";"no";"cellular";"may";"thu";17;5;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
33;"blue-collar";"divorced";"basic.9y";"no";"no";"yes";"telephone";"may";"thu";18;6;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
24;"blue-collar";"single";"basic.9y";"unknown";"yes";"yes";"cellular";"may";"thu";17;7;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
38;"services";"married";"high.school";"unknown";"yes";"no";"cellular";"may";"thu";13;7;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
24;"technician";"married";"professional.course";"no";"yes";"no";"cellular";"may";"thu";99;4;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
30;"services";"single";"high.school";"no";"unknown";"unknown";"cellular";"may";"thu";11;15;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
26;"admin.";"single";"high.school";"no";"yes";"no";"cellular";"may";"thu";24;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
36;"technician";"married";"university.degree";"no";"yes";"no";"cellular";"may";"thu";164;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
32;"services";"single";"basic.9y";"no";"yes";"no";"cellular";"may";"thu";78;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
30;"admin.";"single";"high.school";"no";"yes";"no";"cellular";"may";"thu";29;8;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
22;"student";"single";"high.school";"no";"yes";"no";"telephone";"may";"thu";9;6;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
27;"blue-collar";"married";"professional.course";"no";"yes";"no";"cellular";"may";"thu";465;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
35;"blue-collar";"married";"basic.6y";"unknown";"yes";"yes";"cellular";"may";"thu";263;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
27;"admin.";"single";"university.degree";"no";"no";"no";"cellular";"may";"thu";94;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
43;"blue-collar";"married";"basic.4y";"no";"no";"yes";"cellular";"may";"thu";722;2;11;1;"success";-1.8;92.893;-46.2;1.266;5099.1;"yes"
33;"admin.";"married";"professional.course";"no";"no";"yes";"cellular";"may";"thu";178;8;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
34;"blue-collar";"divorced";"basic.9y";"unknown";"yes";"no";"cellular";"may";"thu";6;6;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
30;"technician";"married";"basic.6y";"no";"no";"no";"cellular";"may";"thu";25;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
31;"services";"married";"high.school";"no";"yes";"no";"cellular";"may";"thu";348;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
34;"technician";"married";"professional.course";"no";"yes";"no";"cellular";"may";"thu";30;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
48;"management";"divorced";"university.degree";"unknown";"no";"no";"cellular";"may";"thu";33;6;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
31;"blue-collar";"married";"basic.9y";"no";"yes";"no";"cellular";"may";"thu";222;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
31;"admin.";"single";"high.school";"no";"no";"no";"cellular";"may";"thu";325;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
43;"services";"married";"high.school";"unknown";"yes";"no";"cellular";"may";"thu";974;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"yes"
23;"self-employed";"single";"basic.9y";"no";"no";"no";"cellular";"may";"thu";254;11;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
31;"admin.";"married";"university.degree";"unknown";"no";"no";"cellular";"may";"thu";344;4;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
24;"blue-collar";"single";"basic.9y";"no";"no";"no";"cellular";"may";"thu";925;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
33;"blue-collar";"married";"basic.6y";"no";"no";"no";"cellular";"may";"thu";467;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"yes"
27;"entrepreneur";"divorced";"university.degree";"unknown";"no";"no";"telephone";"may";"thu";9;5;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
30;"blue-collar";"married";"basic.9y";"no";"yes";"no";"cellular";"may";"thu";15;11;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
29;"blue-collar";"married";"basic.9y";"unknown";"no";"no";"cellular";"may";"thu";12;8;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
20;"blue-collar";"single";"basic.9y";"unknown";"yes";"no";"cellular";"may";"thu";42;7;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
39;"services";"divorced";"high.school";"no";"no";"no";"cellular";"may";"thu";186;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
40;"technician";"married";"professional.course";"no";"yes";"no";"cellular";"may";"thu";580;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
26;"blue-collar";"single";"basic.9y";"no";"yes";"no";"cellular";"may";"thu";40;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
35;"services";"single";"high.school";"no";"no";"no";"cellular";"may";"thu";350;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
23;"blue-collar";"married";"basic.4y";"no";"no";"no";"cellular";"may";"thu";720;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
38;"blue-collar";"married";"basic.4y";"no";"unknown";"unknown";"cellular";"may";"thu";141;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
34;"management";"married";"university.degree";"no";"no";"no";"cellular";"may";"thu";11;8;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
29;"services";"single";"high.school";"no";"yes";"yes";"cellular";"may";"thu";10;10;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
44;"services";"divorced";"high.school";"no";"yes";"no";"cellular";"may";"thu";533;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"yes"
45;"self-employed";"married";"high.school";"no";"yes";"no";"cellular";"may";"thu";21;2;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
31;"management";"single";"university.degree";"no";"yes";"yes";"cellular";"may";"thu";146;3;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
28;"services";"married";"high.school";"no";"yes";"yes";"cellular";"may";"thu";189;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
38;"blue-collar";"married";"basic.4y";"no";"yes";"yes";"cellular";"may";"thu";365;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
29;"blue-collar";"married";"basic.9y";"no";"no";"no";"cellular";"may";"thu";91;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
26;"management";"married";"university.degree";"no";"no";"no";"cellular";"may";"thu";84;4;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
33;"blue-collar";"single";"high.school";"no";"yes";"yes";"telephone";"may";"thu";22;6;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
28;"blue-collar";"single";"basic.4y";"no";"no";"no";"cellular";"may";"thu";166;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
28;"blue-collar";"single";"basic.4y";"no";"yes";"no";"cellular";"may";"thu";182;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
23;"admin.";"single";"high.school";"no";"yes";"no";"cellular";"may";"thu";638;1;6;1;"success";-1.8;92.893;-46.2;1.266;5099.1;"no"
39;"blue-collar";"divorced";"basic.9y";"unknown";"no";"no";"cellular";"may";"thu";46;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
39;"blue-collar";"divorced";"basic.9y";"unknown";"yes";"no";"cellular";"may";"thu";127;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
26;"student";"single";"unknown";"no";"yes";"yes";"cellular";"may";"thu";306;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
36;"blue-collar";"married";"basic.4y";"no";"yes";"yes";"cellular";"may";"thu";558;1;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"yes"
26;"management";"single";"university.degree";"no";"yes";"yes";"cellular";"may";"thu";161;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
26;"management";"single";"university.degree";"no";"yes";"no";"cellular";"may";"thu";119;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
28;"entrepreneur";"married";"high.school";"no";"yes";"no";"cellular";"may";"thu";61;6;999;0;"nonexistent";-1.8;92.893;-46.2;1.266;5099.1;"no"
34;"admin.";"married";"high.school";"no";"no";"no";"cellular";"may";"thu";362;1;999;1;"failure";-1.8;92.893;-46.2;1.266;5099.1;"no"
